Rk,Name,Age,Tm,Lg,G,PA,AB,R,H,B2,B3,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS,TB,GDP,HBP,SH,SF,IBB,PosSummary
2,3,Cristhian Adames#\adamecr01,25,COL,NL,12,14,13,1,0,0,0,0,0,0,0,1,6,0.0,0.071,0.0,0.071,-80.0,0,0,0,0,0,0,/346
3,4,Austin Adams\adamsau02,26,WSN,NL,6,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,/1
4,5,Lane Adams\adamsla01,27,ATL,NL,85,122,109,19,30,4,1,5,20,10,0,10,37,0.275,0.33899999999999997,0.46799999999999997,0.807,108.0,51,3,1,1,1,0,78/9
5,6,Matt Adams*\adamsma01,28,TOT,NL,131,367,339,46,93,22,1,20,65,0,0,23,88,0.27399999999999997,0.319,0.522,0.841,115.0,177,5,1,0,4,5,37/D
9,10,Tim Adleman\adlemti01,29,CIN,NL,27,32,29,0,3,1,0,0,2,0,0,0,10,0.10300000000000001,0.10300000000000001,0.138,0.24100000000000002,-37.0,4,0,0,3,0,0,1
11,12,Jesus Aguilar\aguilje01,27,MIL,NL,133,311,279,40,74,15,2,16,52,0,0,25,94,0.265,0.331,0.505,0.8370000000000001,114.0,141,8,4,0,3,1,3/D5
12,13,Nick Ahmed\ahmedni01,27,ARI,NL,53,178,167,24,42,8,1,6,21,3,4,10,39,0.251,0.298,0.419,0.7170000000000001,78.0,70,6,1,0,0,3,6
14,15,Matt Albers*\alberma01,34,WSN,NL,59,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
15,16,Ozzie Albies#\albieoz01,20,ATL,NL,57,244,217,34,62,9,5,6,28,8,1,21,36,0.28600000000000003,0.354,0.456,0.81,110.0,99,3,3,1,2,0,4
18,19,Arismendy Alcantara#\alcanar01,25,CIN,NL,70,108,105,13,18,3,1,1,7,2,0,2,38,0.171,0.187,0.248,0.435,13.0,26,2,0,1,0,0,4/89657
19,20,Sandy Alcantara\alcansa01,21,STL,NL,8,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,/1
21,22,Jorge Alfaro\alfarjo01,24,PHI,NL,29,114,107,12,34,6,0,5,14,0,0,3,33,0.318,0.36,0.514,0.8740000000000001,129.0,55,2,4,0,0,1,2/3
26,27,Albert Almora\almoral01,23,CHC,NL,132,323,299,39,89,18,1,8,46,1,0,19,53,0.298,0.33799999999999997,0.445,0.782,101.0,133,8,0,3,2,1,8/79
31,32,Aaron Altherr\altheaa01,26,PHI,NL,107,412,372,58,101,24,5,19,65,5,4,32,104,0.272,0.34,0.516,0.856,124.0,192,12,7,0,1,2,798
33,34,Henderson Alvarez\alvarhe01,27,PHI,NL,3,6,6,0,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0,0.0,-100.0,0,0,0,0,0,0,/1
36,37,Alexi Amarista*\amarial01,28,COL,NL,96,176,168,22,40,10,0,3,19,1,0,7,38,0.23800000000000002,0.26899999999999996,0.35100000000000003,0.62,52.0,59,5,0,1,0,0,46/8975
39,40,Brian Anderson\anderbr06,24,MIA,NL,25,95,84,11,22,7,1,0,8,0,0,10,28,0.262,0.337,0.369,0.706,92.0,31,1,0,0,1,0,5
40,41,Chase Anderson\anderch01,29,MIL,NL,24,55,52,1,7,1,0,0,3,0,0,0,29,0.135,0.135,0.154,0.28800000000000003,-25.0,8,1,0,3,0,0,1
41,42,Drew Anderson\anderdr02,23,PHI,NL,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,/1
43,44,Tyler Anderson*\anderty01,27,COL,NL,17,33,26,1,1,0,0,0,0,0,0,1,17,0.038,0.07400000000000001,0.038,0.113,-71.0,1,1,0,6,0,0,1
52,53,Victor Arano\aranovi01,22,PHI,NL,10,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
54,55,Orlando Arcia\arciaor01,22,MIL,NL,153,548,506,56,140,17,2,15,53,14,7,36,100,0.27699999999999997,0.324,0.40700000000000003,0.731,89.0,206,10,1,2,3,9,*6
55,56,Nolan Arenado\arenano01,26,COL,NL,159,680,606,100,187,43,7,37,130,3,2,62,106,0.309,0.373,0.586,0.9590000000000001,132.0,355,21,4,1,6,9,*5
57,58,Jake Arrieta\arrieja01,31,CHC,NL,29,64,61,2,8,0,1,1,5,0,0,1,32,0.131,0.145,0.213,0.358,-9.0,13,0,0,2,0,0,1
58,59,Bronson Arroyo\arroybr01,40,CIN,NL,15,29,26,0,4,0,0,0,0,0,0,0,10,0.154,0.154,0.154,0.308,-19.0,4,0,0,3,0,0,1
59,60,Christian Arroyo\arroych01,22,SFG,NL,34,135,125,9,24,5,0,3,14,1,2,8,32,0.192,0.244,0.304,0.5479999999999999,45.0,38,4,1,0,1,1,56/4
62,63,Barrett Astin\astinba01,25,CIN,NL,6,1,1,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,-100.0,0,0,0,0,0,0,/1
63,64,Carlos Asuaje*\asuajca01,25,SDP,NL,89,343,307,28,83,14,1,4,21,0,1,28,76,0.27,0.33399999999999996,0.36200000000000004,0.696,88.0,111,6,2,5,1,0,4/3
68,69,Luis Avilan*\avilalu01,27,LAD,NL,58,2,2,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,-100.0,0,0,0,0,0,0,1
69,70,Mike Aviles\avilemi01,36,MIA,NL,37,97,86,5,20,2,0,1,8,0,0,6,15,0.233,0.298,0.29100000000000004,0.589,61.0,25,3,2,3,0,2,6/4539
71,72,Erick Aybar#\aybarer01,33,SDP,NL,108,370,333,37,78,15,1,7,22,11,4,28,57,0.23399999999999999,0.3,0.348,0.648,74.0,116,5,4,3,2,2,6/1
72,73,Harrison Bader\baderha01,23,STL,NL,32,92,85,10,20,3,0,3,10,2,1,5,24,0.235,0.28300000000000003,0.376,0.659,73.0,32,1,1,0,1,1,8/79
73,74,Javier Baez\baezja01,24,CHC,NL,145,508,469,75,128,24,2,23,75,10,3,30,144,0.273,0.317,0.48,0.7959999999999999,103.0,225,10,1,6,2,15,46/539
74,75,Pedro Baez\baezpe01,29,LAD,NL,61,2,1,0,0,0,0,0,1,0,0,1,1,0.0,0.5,0.0,0.5,52.0,0,0,0,0,0,0,1
76,77,Homer Bailey\baileho02,31,CIN,NL,17,35,28,4,7,2,0,0,0,0,0,0,11,0.25,0.25,0.321,0.5710000000000001,48.0,9,0,0,7,0,0,1
77,78,Anthony Banda*\bandaan01,23,ARI,NL,7,6,5,0,0,0,0,0,0,0,0,0,3,0.0,0.0,0.0,0.0,-100.0,0,0,0,1,0,0,/1
78,79,Jett Bandy\bandyje01,27,MIL,NL,60,188,169,14,35,6,0,6,18,1,0,15,51,0.207,0.287,0.349,0.636,65.0,59,5,4,0,0,0,2
79,80,Johnny Barbato\barbajo01,24,PIT,NL,23,1,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-100.0,0,0,0,0,0,0,1
80,81,Austin Barnes\barneau01,27,LAD,NL,102,262,218,35,63,15,2,8,38,4,1,39,43,0.289,0.408,0.486,0.895,137.0,106,6,5,0,0,1,24/5D
