Rk,Name,Age,Tm,Lg,G,PA,AB,R,H,B2,B3,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS,TB,GDP,HBP,SH,SF,IBB,PosSummary
82,83,Jacob Barnes\barneja01,27,MIL,NL,68,1,0,0,0,0,0,0,0,0,0,1,0,,1.0,,,,0,0,0,0,0,0,1
86,87,Tucker Barnhart#\barnhtu01,26,CIN,NL,121,423,370,26,100,24,2,7,44,4,0,42,68,0.27,0.34700000000000003,0.40299999999999997,0.75,96.0,149,12,3,5,3,11,*2
87,88,Kyle Barraclough\barraky01,27,MIA,NL,62,1,1,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,-100.0,0,0,0,0,0,0,1
89,90,Jake Barrett\barreja01,25,ARI,NL,28,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
90,91,Antonio Bastardo\bastaan01,31,PIT,NL,8,1,0,0,0,0,0,0,0,0,0,1,0,,1.0,,,,0,0,0,0,0,0,/1
92,93,Buddy Baumann*\baumabu01,29,SDP,NL,22,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
94,95,Rafael Bautista\bautira01,24,WSN,NL,17,27,25,2,4,0,0,0,0,0,0,2,5,0.16,0.222,0.16,0.382,2.0,4,1,0,0,0,0,9/87
95,96,Pedro Beato\beatope01,30,PHI,NL,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,/1
104,105,Josh Bell#\belljo02,24,PIT,NL,159,620,549,75,140,26,6,26,90,2,4,66,117,0.255,0.33399999999999996,0.466,0.8,108.0,256,15,1,0,4,4,*3/D
105,106,Cody Bellinger*\bellico01,21,LAD,NL,132,548,480,87,128,26,4,39,97,10,3,64,146,0.267,0.35200000000000004,0.581,0.9329999999999999,142.0,279,5,1,0,3,13,37/98D
106,107,Brandon Belt*\beltbr01,29,SFG,NL,104,451,382,63,92,27,3,18,51,3,2,66,104,0.24100000000000002,0.355,0.469,0.823,116.0,179,5,2,0,1,2,37/9
110,111,Joaquin Benoit\benoijo01,39,TOT,NL,48,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
115,116,Quintin Berry*\berryqu01,32,MIL,NL,7,3,3,0,0,0,0,0,0,2,1,0,2,0.0,0.0,0.0,0.0,-100.0,0,0,0,0,0,0,/78
117,118,Christian Bethancourt\bethach01,25,SDP,NL,8,7,7,0,1,0,0,0,0,0,0,0,3,0.14300000000000002,0.14300000000000002,0.14300000000000002,0.28600000000000003,-23.0,1,0,0,0,0,0,/14
118,119,Chad Bettis\bettich01,28,COL,NL,9,15,11,1,1,0,0,0,1,0,0,1,6,0.091,0.16699999999999998,0.091,0.258,-33.0,1,0,0,3,0,0,/1
123,124,Ty Blach\blachty01,26,SFG,NL,36,53,44,5,10,2,0,1,7,0,0,4,21,0.22699999999999998,0.28600000000000003,0.341,0.627,66.0,15,1,0,4,1,0,1
125,126,Charlie Blackmon*\blackch02,30,COL,NL,159,725,644,137,213,35,14,37,104,14,10,65,135,0.331,0.39899999999999997,0.601,1.0,142.0,387,4,10,3,3,9,*8
126,127,Aaron Blair\blairaa01,25,ATL,NL,1,2,1,0,1,0,0,0,0,0,0,1,0,1.0,1.0,1.0,2.0,426.0,1,0,0,0,0,0,/1
127,128,Andres Blanco#\blancan01,33,PHI,NL,80,144,130,10,25,4,0,3,13,1,0,12,34,0.192,0.257,0.292,0.5489999999999999,46.0,38,1,0,0,2,0,543/6D1
128,129,Gregor Blanco*\blancgr01,33,ARI,NL,90,256,224,43,55,10,3,3,13,15,1,31,59,0.24600000000000002,0.337,0.35700000000000004,0.6940000000000001,76.0,80,2,0,1,0,0,78/9
129,130,Joe Blanton\blantjo01,36,WSN,NL,48,1,0,0,0,0,0,0,0,0,0,1,0,,1.0,,,,0,0,0,0,0,0,1
130,131,Jabari Blash\blashja01,27,SDP,NL,61,195,164,24,35,6,0,5,16,1,2,28,66,0.213,0.33299999999999996,0.341,0.675,83.0,56,5,2,0,1,0,97
131,132,Michael Blazek\blazemi01,28,MIL,NL,5,2,2,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,-100.0,0,1,0,0,0,0,/1
133,134,Jerry Blevins*\blevije01,33,NYM,NL,70,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
135,136,Emilio Bonifacio#\bonifem01,32,ATL,NL,38,44,38,2,5,1,1,0,3,0,0,1,9,0.132,0.15,0.21100000000000002,0.361,-7.0,8,1,0,4,1,0,/798
137,138,Lisalverto Bonilla#\bonilli01,27,CIN,NL,7,8,6,0,1,0,0,0,0,0,0,1,3,0.16699999999999998,0.375,0.16699999999999998,0.542,51.0,1,0,1,0,0,0,1
138,139,John Bormann\bormajo01,24,PIT,NL,1,1,1,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,-100.0,0,0,0,0,0,0,
140,141,Christopher Bostick\bostich01,24,PIT,NL,20,32,27,6,8,2,0,0,1,0,1,4,9,0.29600000000000004,0.406,0.37,0.777,108.0,10,0,1,0,0,0,/47
141,142,Justin Bour*\bourju01,29,MIA,NL,108,429,377,52,109,18,0,25,83,1,0,47,95,0.289,0.366,0.536,0.902,141.0,202,10,1,0,4,7,3/D
143,144,Matthew Bowman\bowmama01,26,STL,NL,71,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,1,0,0,1
147,148,Silvino Bracho\brachsi01,24,ARI,NL,17,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
148,149,Chasen Bradford\bradfch02,27,NYM,NL,25,1,1,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,-100.0,0,0,0,0,0,0,1
149,150,Archie Bradley\bradlar01,24,ARI,NL,60,4,4,0,1,0,0,0,1,0,0,0,2,0.25,0.25,0.25,0.5,27.0,1,0,0,0,0,0,1
153,154,Steven Brault*\braulst01,25,PIT,NL,12,13,13,2,3,1,0,0,2,0,0,0,0,0.231,0.231,0.308,0.5379999999999999,41.0,4,0,0,0,0,0,1
154,155,Ryan Braun\braunry02,33,MIL,NL,104,425,380,58,102,28,2,17,52,12,4,38,76,0.268,0.336,0.48700000000000004,0.823,111.0,185,15,3,0,4,2,7/D
155,156,John Brebbia*\brebbjo01,27,STL,NL,46,1,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-100.0,0,0,0,0,0,0,1
159,160,Austin Brice\briceau01,25,CIN,NL,21,4,4,0,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0,0.0,-100.0,0,0,0,0,0,0,1
160,161,Lewis Brinson\brinsle01,23,MIL,NL,21,55,47,2,5,0,1,2,3,1,0,7,17,0.106,0.23600000000000002,0.27699999999999997,0.513,34.0,13,0,1,0,0,1,/87
162,163,Rex Brothers*\brothre01,29,ATL,NL,27,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
163,164,Jonathan Broxton\broxtjo01,33,STL,NL,19,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
164,165,Keon Broxton\broxtke01,27,MIL,NL,143,463,414,66,91,15,4,20,49,21,7,40,175,0.22,0.299,0.42,0.7190000000000001,85.0,174,3,7,1,1,1,*8
169,170,Kris Bryant\bryankr01,25,CHC,NL,151,665,549,111,162,38,4,29,73,7,5,95,128,0.295,0.409,0.537,0.946,143.0,295,8,15,0,6,5,*5/9387
170,171,Jake Buchanan\buchaja01,27,CIN,NL,4,3,2,1,1,0,0,0,1,0,0,1,1,0.5,0.667,0.5,1.167,214.0,1,0,0,0,0,0,/1
171,172,Clay Buchholz*\buchhcl01,32,PHI,NL,2,2,2,0,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0,0.0,-100.0,0,0,0,0,0,0,/1
175,176,Walker Buehler\buehlwa01,22,LAD,NL,8,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,/1
176,177,Madison Bumgarner\bumgama01,27,SFG,NL,15,36,34,4,7,0,0,3,5,0,0,2,11,0.20600000000000002,0.25,0.47100000000000003,0.721,85.0,16,1,0,0,0,0,1
182,183,Eddie Butler\butleed01,26,CHC,NL,12,19,15,0,1,0,0,0,0,0,0,1,6,0.067,0.125,0.067,0.192,-48.0,1,0,0,3,0,0,1
184,185,Asdrubal Cabrera#\cabreas01,31,NYM,NL,135,540,479,66,134,32,0,14,59,3,2,50,83,0.28,0.35100000000000003,0.434,0.785,107.0,208,19,5,1,5,1,654/D
193,194,Matt Cain\cainma01,32,SFG,NL,24,34,32,1,5,2,0,0,2,0,0,0,20,0.156,0.156,0.21899999999999997,0.375,-2.0,7,0,0,2,0,0,1
196,197,Orlando Calixte\calixor01,25,SFG,NL,29,55,49,5,7,1,0,0,6,1,0,3,16,0.14300000000000002,0.185,0.163,0.348,-6.0,8,1,0,1,2,0,/75698D
197,198,Jamie Callahan\callaja01,22,NYM,NL,8,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,/1
198,199,Johan Camargo#\camarjo01,23,ATL,NL,82,256,241,30,72,21,2,4,27,0,0,12,51,0.299,0.331,0.452,0.7829999999999999,102.0,109,5,0,2,1,2,56/47
204,205,Carter Capps\cappsca01,26,SDP,NL,11,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
205,206,Victor Caratini#\caratvi01,23,CHC,NL,31,66,59,6,15,3,0,1,2,0,0,4,13,0.254,0.33299999999999996,0.35600000000000004,0.6890000000000001,80.0,21,3,3,0,0,1,2/379
206,207,Stephen Cardullo\cardust01,29,COL,NL,15,32,28,2,4,0,0,0,3,0,0,3,7,0.14300000000000002,0.25,0.14300000000000002,0.39299999999999996,2.0,4,0,1,0,0,0,/79
207,208,Shane Carle\carlesh01,25,COL,NL,3,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,/1
208,209,Matt Carpenter*\carpema01,31,STL,NL,145,622,497,91,120,31,2,23,69,2,1,109,125,0.24100000000000002,0.384,0.451,0.835,121.0,224,5,9,2,5,4,*354/D
216,217,Fabio Castillo\castifa01,28,LAD,NL,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,/1
217,218,Luis Castillo\castilu02,24,CIN,NL,14,33,29,0,2,0,0,0,1,0,0,1,11,0.069,0.1,0.069,0.16899999999999998,-54.0,2,0,0,3,0,0,1
223,224,Gavin Cecchini\cecchga02,23,NYM,NL,32,82,77,4,16,2,0,1,7,0,1,4,19,0.20800000000000002,0.256,0.273,0.529,41.0,21,3,1,0,0,1,4
224,225,Brett Cecil\cecilbr01,30,STL,NL,68,1,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-100.0,0,0,0,0,0,0,1
227,228,Francisco Cervelli\cervefr01,31,PIT,NL,81,304,265,31,66,13,2,5,31,0,2,32,65,0.249,0.342,0.37,0.7120000000000001,89.0,98,7,6,0,1,0,2
228,229,Hunter Cervenka*\cervehu01,27,MIA,NL,4,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,/1
229,230,Yoenis Cespedes\cespeyo01,31,NYM,NL,81,321,291,46,85,17,2,17,42,0,1,26,61,0.292,0.35200000000000004,0.54,0.892,132.0,157,7,2,0,2,5,7/D
230,231,Alejandro Chacin\chacial01,24,CIN,NL,6,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,/1
231,232,Jhoulys Chacin\chacijh01,29,SDP,NL,33,61,54,0,12,2,0,0,4,1,0,0,11,0.222,0.222,0.259,0.48100000000000004,29.0,14,2,0,7,0,0,1
232,233,Andrew Chafin\chafian01,27,ARI,NL,68,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
235,236,Tyler Chatwood\chatwty01,27,COL,NL,33,47,39,5,6,1,0,0,2,0,0,1,9,0.154,0.175,0.179,0.354,-12.0,7,0,0,7,0,0,1
237,238,Wei-Yin Chen\chenwe02,31,MIA,NL,8,8,8,0,1,0,0,0,0,0,0,0,3,0.125,0.125,0.125,0.25,-32.0,1,0,0,0,0,0,/1
242,243,Tony Cingrani*\cingrto01,27,TOT,NL,43,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
255,256,A.J. Cole\coleaj01,25,WSN,NL,11,16,14,0,2,0,0,0,0,0,0,2,5,0.14300000000000002,0.25,0.14300000000000002,0.39299999999999996,7.0,2,0,0,0,0,0,1
256,257,Gerrit Cole\colege01,26,PIT,NL,32,68,55,3,9,1,0,1,3,0,0,1,21,0.16399999999999998,0.179,0.23600000000000002,0.415,9.0,13,1,0,12,0,0,1
257,258,Dusty Coleman\colemdu01,30,SDP,NL,27,71,66,6,15,3,0,4,9,1,0,2,33,0.22699999999999998,0.268,0.455,0.722,89.0,30,1,2,0,1,0,6
259,260,Josh Collmenter\collmjo01,31,ATL,NL,10,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
267,268,Michael Conforto*\confomi01,24,NYM,NL,109,440,373,72,104,20,1,27,68,2,0,57,113,0.27899999999999997,0.384,0.555,0.9390000000000001,145.0,207,3,8,0,2,5,789/D
268,269,Adam Conley*\conlead01,27,MIA,NL,20,32,24,3,3,0,0,0,0,0,0,2,14,0.125,0.192,0.125,0.317,-11.0,3,0,0,6,0,0,1
269,270,Willson Contreras\contrwi01,25,CHC,NL,117,428,377,50,104,21,0,21,74,5,4,45,98,0.276,0.35600000000000004,0.499,0.855,119.0,188,13,3,1,2,2,2/3795
271,272,Patrick Corbin*\corbipa01,27,ARI,NL,33,70,56,6,7,0,1,0,0,0,0,6,28,0.125,0.21,0.161,0.37,-4.0,9,0,0,8,0,0,1
272,273,Franchy Cordero*\cordefr02,22,SDP,NL,30,99,92,15,21,3,3,3,9,1,1,6,44,0.228,0.276,0.424,0.6990000000000001,84.0,39,0,0,1,0,0,8/7
273,274,Allen Cordoba\cordoal01,21,SDP,NL,100,227,202,17,42,2,2,4,15,2,2,18,54,0.20800000000000002,0.282,0.297,0.579,56.0,60,2,4,0,3,1,76/8594
275,276,Jarred Cosart\cosarja01,27,SDP,NL,7,6,4,0,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0,0.0,-100.0,0,0,0,2,0,0,/1
280,281,Zack Cozart\cozarza01,31,CIN,NL,122,507,438,80,130,24,7,24,63,3,0,62,78,0.297,0.385,0.5479999999999999,0.9329999999999999,141.0,240,5,3,0,4,0,*6/D
281,282,Brandon Crawford*\crawfbr01,30,SFG,NL,144,570,518,58,131,34,1,14,77,3,5,42,113,0.253,0.305,0.40299999999999997,0.7090000000000001,86.0,209,18,1,0,9,3,*6
282,283,J.P. Crawford*\crawfjp01,22,PHI,NL,23,87,70,8,15,4,1,0,6,1,0,16,22,0.214,0.35600000000000004,0.3,0.6559999999999999,78.0,21,1,0,0,1,0,5/64
283,284,Kyle Crick*\crickky01,24,SFG,NL,27,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
287,288,Johnny Cueto\cuetojo01,31,SFG,NL,25,52,46,3,4,0,0,0,3,0,0,1,15,0.087,0.10400000000000001,0.087,0.191,-48.0,4,0,0,4,1,0,1
288,289,Charlie Culberson\culbech01,28,LAD,NL,15,15,13,0,2,1,0,0,1,0,0,2,4,0.154,0.267,0.231,0.49700000000000005,34.0,3,2,0,0,0,0,6/45
293,294,Chase d'Arnaud\darnach01,30,TOT,NL,33,61,57,10,10,2,0,1,3,5,1,4,20,0.175,0.23,0.263,0.493,32.0,15,0,0,0,0,1,6/74539
297,298,Travis d'Arnaud\darnatr01,28,NYM,NL,112,376,348,39,85,19,1,16,57,0,0,23,59,0.244,0.293,0.44299999999999995,0.735,91.0,154,12,2,0,3,3,2/45D
301,302,Zach Davies\davieza02,24,MIL,NL,32,69,48,7,6,2,0,0,3,0,0,7,15,0.125,0.23600000000000002,0.16699999999999998,0.40299999999999997,9.0,8,1,0,14,0,0,1
308,309,Rookie Davis\davisro03,24,CIN,NL,7,8,6,0,1,1,0,0,0,0,0,0,5,0.16699999999999998,0.28600000000000003,0.33299999999999996,0.619,62.0,2,0,1,1,0,0,/1
309,310,Taylor Davis\davista01,27,CHC,NL,8,13,13,1,3,1,0,0,1,0,0,0,4,0.231,0.231,0.308,0.5379999999999999,38.0,4,0,0,0,0,0,/352
310,311,Wade Davis\daviswa01,31,CHC,NL,56,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
311,312,Grant Dayton*\daytogr01,29,LAD,NL,26,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
312,313,Alejandro De Aza*\deazaal01,33,WSN,NL,28,70,62,8,12,2,3,0,9,1,0,3,16,0.19399999999999998,0.22399999999999998,0.32299999999999995,0.546,40.0,20,1,0,3,2,1,97/8
313,314,Jorge De La Rosa*\rosajo01,36,ARI,NL,64,2,0,1,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,2,0,0,1
314,315,Rubby De La Rosa\delarru01,28,ARI,NL,9,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,/1
316,317,Jacob deGrom*\degroja01,29,NYM,NL,34,77,71,6,15,1,0,1,4,1,0,2,22,0.21100000000000002,0.233,0.268,0.5,33.0,19,0,0,4,0,0,1
317,318,Paul DeJong\dejonpa01,23,STL,NL,108,443,417,55,119,26,1,25,65,1,0,21,124,0.285,0.325,0.532,0.857,122.0,222,8,4,0,1,1,64
318,319,Randall Delgado\delgara01,27,ARI,NL,25,9,8,0,0,0,0,0,0,0,0,0,3,0.0,0.0,0.0,0.0,-100.0,0,0,0,1,0,0,1
322,323,Daniel Descalso*\descada01,30,ARI,NL,130,398,344,47,80,16,5,10,51,4,0,48,89,0.233,0.332,0.395,0.727,82.0,136,6,4,0,2,0,4735/1D6
324,325,Ian Desmond\desmoia01,31,COL,NL,95,373,339,47,93,11,1,7,40,15,4,24,87,0.27399999999999997,0.326,0.375,0.701,73.0,127,13,4,2,4,1,73/86
325,326,Odrisamer Despaigne\despaod01,30,MIA,NL,18,20,19,0,2,0,0,0,1,0,0,0,5,0.105,0.105,0.105,0.21100000000000002,-42.0,2,0,0,1,0,0,1
328,329,Aledmys Diaz\diazal02,26,STL,NL,79,301,286,31,74,17,0,7,20,4,1,13,42,0.259,0.29,0.392,0.682,79.0,112,9,0,1,1,1,6/574
330,331,Elias Diaz\diazel01,26,PIT,NL,64,200,188,18,42,14,0,1,19,1,0,11,38,0.223,0.265,0.314,0.579,52.0,59,8,0,0,1,0,2
331,332,Jairo Diaz\diazja01,26,COL,NL,4,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,/1
333,334,Miguel Diaz\diazmi02,22,SDP,NL,31,4,3,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-100.0,0,0,0,1,0,0,1
336,337,R.A. Dickey\dicker.01,42,ATL,NL,30,68,61,0,9,0,0,0,5,0,0,0,12,0.14800000000000002,0.14800000000000002,0.14800000000000002,0.295,-22.0,9,0,0,7,0,0,1
337,338,O'Koyea Dickson\dicksok01,27,LAD,NL,7,9,7,0,1,0,0,0,0,0,0,2,2,0.14300000000000002,0.33299999999999996,0.14300000000000002,0.47600000000000003,34.0,1,0,0,0,0,1,/7
339,340,Derek Dietrich*\dietrde01,27,MIA,NL,135,464,406,56,101,22,5,13,53,0,1,36,98,0.249,0.33399999999999996,0.424,0.758,104.0,172,4,18,0,4,5,534/7
340,341,Wilmer Difo#\difowi01,25,WSN,NL,124,365,332,47,90,10,4,5,21,10,1,24,74,0.271,0.319,0.37,0.69,79.0,123,7,1,5,3,6,64/5978D
347,348,Stephen Drew*\drewst01,34,WSN,NL,46,106,95,9,24,7,0,1,17,0,0,8,21,0.253,0.302,0.358,0.66,71.0,34,2,0,0,3,0,65/4
348,349,Brandon Drury\drurybr01,24,ARI,NL,135,480,445,41,119,37,2,13,63,1,1,28,103,0.267,0.317,0.447,0.764,89.0,199,9,5,0,2,1,*4/D5
352,353,Brian Duensing*\duensbr01,34,CHC,NL,65,4,4,0,0,0,0,0,0,0,0,0,3,0.0,0.0,0.0,0.0,-100.0,0,1,0,0,0,0,1
355,356,Zach Duke*\dukeza01,34,STL,NL,25,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
